127.0.0.1 - - [27/Apr/2017:11:25:52 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [27/Apr/2017:11:25:53 +0800] "GET /graduation_project1/sign-in.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2017:11:25:53 +0800] "GET /graduation_project1/lib/bootstrap/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2017:11:25:53 +0800] "GET /graduation_project1/javascripts/bootstrap.js HTTP/1.1" 404 1082
0:0:0:0:0:0:0:1 - - [27/Apr/2017:11:25:53 +0800] "GET /graduation_project1/lib/jquery-1.8.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2017:11:25:53 +0800] "GET /graduation_project1/stylesheets/theme.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2017:11:25:53 +0800] "GET /graduation_project1/lib/font-awesome/css/font-awesome.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2017:11:25:53 +0800] "GET /graduation_project1/lib/bootstrap/css/bootstrap-responsive.css HTTP/1.1" 404 1118
0:0:0:0:0:0:0:1 - - [27/Apr/2017:11:25:53 +0800] "GET /graduation_project1/images/furley_bg.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2017:11:26:11 +0800] "GET /graduation_project1/sign-in.html HTTP/1.1" 200 2622
0:0:0:0:0:0:0:1 - - [27/Apr/2017:11:26:11 +0800] "GET /graduation_project1/lib/bootstrap/css/bootstrap.css HTTP/1.1" 200 132425
0:0:0:0:0:0:0:1 - - [27/Apr/2017:11:26:11 +0800] "GET /graduation_project1/stylesheets/theme.css HTTP/1.1" 200 22942
0:0:0:0:0:0:0:1 - - [27/Apr/2017:11:26:11 +0800] "GET /graduation_project1/lib/bootstrap/css/bootstrap-responsive.css HTTP/1.1" 404 1118
0:0:0:0:0:0:0:1 - - [27/Apr/2017:11:26:11 +0800] "GET /graduation_project1/lib/font-awesome/css/font-awesome.css HTTP/1.1" 200 14599
0:0:0:0:0:0:0:1 - - [27/Apr/2017:11:26:11 +0800] "GET /graduation_project1/lib/jquery-1.8.1.min.js HTTP/1.1" 200 92793
0:0:0:0:0:0:0:1 - - [27/Apr/2017:11:26:11 +0800] "GET /graduation_project1/javascripts/bootstrap.js HTTP/1.1" 404 1082
0:0:0:0:0:0:0:1 - - [27/Apr/2017:11:26:11 +0800] "GET /graduation_project1/images/furley_bg.png HTTP/1.1" 200 42976
0:0:0:0:0:0:0:1 - - [27/Apr/2017:11:26:22 +0800] "GET /graduation_project1/Home?username=lisi&password=12345 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Apr/2017:11:26:22 +0800] "GET /graduation_project1/studentIndex.jsp HTTP/1.1" 200 3790
0:0:0:0:0:0:0:1 - - [27/Apr/2017:11:26:22 +0800] "GET /graduation_project1/lib/bootstrap/css/bootstrap-responsive.css HTTP/1.1" 404 1118
0:0:0:0:0:0:0:1 - - [27/Apr/2017:11:26:22 +0800] "GET /graduation_project1/lib/bootstrap/js/bootstrap.js HTTP/1.1" 200 56490
0:0:0:0:0:0:0:1 - - [27/Apr/2017:11:26:22 +0800] "GET /graduation_project1/lib/jqplot/jquery.jqplot.min.js HTTP/1.1" 200 173216
0:0:0:0:0:0:0:1 - - [27/Apr/2017:11:26:22 +0800] "GET /graduation_project1/javascripts/graphDemo.js HTTP/1.1" 200 4293
0:0:0:0:0:0:0:1 - - [27/Apr/2017:11:26:22 +0800] "GET /graduation_project1/lib/font-awesome/font/fontawesome-webfont.woff HTTP/1.1" 200 41752
0:0:0:0:0:0:0:1 - - [27/Apr/2017:13:58:46 +0800] "GET /graduation_project1/myVolunteerActivity.jsp HTTP/1.1" 200 4564
0:0:0:0:0:0:0:1 - - [27/Apr/2017:13:58:46 +0800] "GET /graduation_project1/stylesheets/panigate.css HTTP/1.1" 200 28516
0:0:0:0:0:0:0:1 - - [27/Apr/2017:13:58:46 +0800] "GET /graduation_project1/javascripts/studentApplication.js HTTP/1.1" 200 2955
0:0:0:0:0:0:0:1 - - [27/Apr/2017:13:58:46 +0800] "GET /graduation_project1/javascripts/panigate.js HTTP/1.1" 200 6397
0:0:0:0:0:0:0:1 - - [27/Apr/2017:13:58:48 +0800] "GET /graduation_project1/javascripts/bootstrap.js HTTP/1.1" 404 1082
0:0:0:0:0:0:0:1 - - [27/Apr/2017:13:58:48 +0800] "GET /graduation_project1/lib/bootstrap/css/bootstrap-responsive.css HTTP/1.1" 404 1118
0:0:0:0:0:0:0:1 - - [27/Apr/2017:13:58:54 +0800] "GET /graduation_project1/Home?username=lisi&password=12345 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Apr/2017:13:58:54 +0800] "GET /graduation_project1/studentIndex.jsp HTTP/1.1" 200 3790
0:0:0:0:0:0:0:1 - - [27/Apr/2017:13:58:54 +0800] "GET /graduation_project1/lib/bootstrap/css/bootstrap-responsive.css HTTP/1.1" 404 1118
0:0:0:0:0:0:0:1 - - [27/Apr/2017:13:58:55 +0800] "GET /graduation_project1/myVolunteerActivity.jsp HTTP/1.1" 200 4407
0:0:0:0:0:0:0:1 - - [27/Apr/2017:13:58:56 +0800] "GET /graduation_project1/myVolunteerActivity?_=1493272736002 HTTP/1.1" 200 189
0:0:0:0:0:0:0:1 - - [27/Apr/2017:13:58:56 +0800] "GET /graduation_project1/myVolunteerActivity?pageIndex=0&pageSize=10&_=1493272736280 HTTP/1.1" 200 189
0:0:0:0:0:0:0:1 - - [27/Apr/2017:14:01:58 +0800] "GET /graduation_project1/studentVolunteerActivity.jsp HTTP/1.1" 200 6288
0:0:0:0:0:0:0:1 - - [27/Apr/2017:14:01:58 +0800] "GET /graduation_project1/javascripts/volunteerActivity.js HTTP/1.1" 200 3051
0:0:0:0:0:0:0:1 - - [27/Apr/2017:14:01:58 +0800] "GET /graduation_project1/VolunteerActivityServlet?_=1493272918835 HTTP/1.1" 200 3907
0:0:0:0:0:0:0:1 - - [27/Apr/2017:14:01:58 +0800] "GET /graduation_project1/VolunteerActivityServlet?pageIndex=0&pageSize=10&_=1493272918916 HTTP/1.1" 200 2077
0:0:0:0:0:0:0:1 - - [27/Apr/2017:14:03:11 +0800] "GET /graduation_project1/studentCompetition.jsp HTTP/1.1" 200 5805
0:0:0:0:0:0:0:1 - - [27/Apr/2017:14:03:11 +0800] "GET /graduation_project1/javascripts/competition.js HTTP/1.1" 200 2806
0:0:0:0:0:0:0:1 - - [27/Apr/2017:14:03:11 +0800] "GET /graduation_project1/javascripts/jquery.jqplot.min.js HTTP/1.1" 404 1098
0:0:0:0:0:0:0:1 - - [27/Apr/2017:14:03:11 +0800] "GET /graduation_project1/competitionServlet?_=1493272991514 HTTP/1.1" 200 1825
